face, red 
head, black
head, white 
head, grey 
flank, buff
flank, chestnut brown
back, chestnut brown
back, buff
wing, black 
entirety, yellow streak
entirety, yellow 
entirety, streak
tail, black
rump, white
crown, black
upperpart, warm brown
underpart, white
flank, buff
breast, patch
wing, yellow
eye, darker red masking
eye, darker red
eye, masking
bill, white 
tip, greyish
tip, blackish
tip, blackish marking
tip, marking
back, grey
wing, yellow stripe
wing, yellow 
wing, stripe
