breast, white
face, rufous
flank, rufous
tail, rufous
throat, iridescent orange-red patch
throat, iridescent orange-red
throat, patch
back, green
crown, green
feather, green
feather, white
feather, irisidescent orange
throat, green
throat, white
throat, irisidescent orange
tail, dark
tail, white
base, rufous
back, green
crown, green
crown, golden
flank, green
flank, golden
back, green
back, golden
belly, pale greyish
rump, rufous
tail, rufous 
tail, dusky
bill, red
tip, black
mandible, black
egg, white
