breast, black
back, black
belly, bright yellow
rump, bright yellow
wing, black
wing, yellow spot
wing, yellow
wing, spot
wing, white streak
wing, white
wing, streak
tail, yellow
wing, dark
entirety, lemon yellow
head, black
chest, black
back, black
throat, black
body, lemon yellow
wing, black
wingbar, white
wingbar, yellow
wing, white
tail, black
feather, yellow
head, black spot
back, black spot
throat, black spot
below, yellow 
below, yellowish olive
wing, brownish 
wing, black
wingbar, whitish
tail, olive
base, yellowish
entirety, dull
entirety, brownish
